start_block,end_block,heuristic_count,total_transactions,avg_per_block,avg_tx_per_block,normalized_ratio
430000,431007,0,1492605,0.0,1480.758928571429,0.0
431008,432015,0,1436559,0.0,1425.157738095238,0.0
432016,433023,0,1608428,0.0,1595.6626984126983,0.0
433024,434031,0,1667956,0.0,1654.718253968254,0.0
434032,435039,0,1671844,0.0,1658.5753968253969,0.0
435040,436047,0,1627245,0.0,1614.330357142857,0.0
436048,437055,0,1674041,0.0,1660.7549603174602,0.0
437056,438063,0,1799280,0.0,1785.0,0.0
438064,439071,0,1588040,0.0,1575.436507936508,0.0
439072,440079,0,1862716,0.0,1847.93253968254,0.0
440080,441087,0,1915714,0.0,1900.5099206349207,0.0
441088,442095,0,1868159,0.0,1853.3323412698408,0.0
442096,443103,0,1755067,0.0,1741.1378968253969,0.0
443104,444111,0,1885288,0.0,1870.3253968253969,0.0
444112,445119,0,1880598,0.0,1865.672619047619,0.0
445120,446127,0,1775123,0.0,1761.0347222222222,0.0
446128,447135,0,1976709,0.0,1961.0208333333333,0.0
447136,448143,0,1806075,0.0,1791.741071428571,0.0
448144,449151,0,1685194,0.0,1671.8194444444443,0.0
449152,450159,0,1737544,0.0,1723.7539682539682,0.0
450160,451167,0,1716325,0.0,1702.703373015873,0.0
451168,452175,0,1999324,0.0,1983.4563492063487,0.0
452176,453183,0,1909836,0.0,1894.6785714285716,0.0
453184,454191,0,1980453,0.0,1964.735119047619,0.0
454192,455199,0,1990947,0.0,1975.1458333333333,0.0
455200,456207,0,2100348,0.0,2083.678571428572,0.0
456208,457215,0,1918211,0.0,1902.9871031746031,0.0
457216,458223,0,1926633,0.0,1911.342261904762,0.0
458224,459231,0,1777516,0.0,1763.40873015873,0.0
459232,460239,0,1814089,0.0,1799.6914682539682,0.0
460240,461247,0,1830168,0.0,1815.642857142857,0.0
462256,463263,0,1938638,0.0,1923.251984126984,0.0
461248,462255,0,1835621,0.0,1821.0525793650795,0.0
463264,464271,0,2078082,0.0,2061.589285714286,0.0
464272,465279,0,2082766,0.0,2066.2361111111118,0.0
465280,466287,0,2119040,0.0,2102.222222222222,0.0
466288,467295,0,2028992,0.0,2012.888888888889,0.0
467296,468303,0,2218444,0.0,2200.8373015873017,0.0
468304,469311,0,1971665,0.0,1956.016865079365,0.0
469312,470319,0,1818651,0.0,1804.217261904762,0.0
470320,471327,0,1875939,0.0,1861.0505952380952,0.0
471328,472335,0,1807597,0.0,1793.250992063492,0.0
472336,473343,0,1748120,0.0,1734.2460317460318,0.0
473344,474351,0,1503711,0.0,1491.7767857142858,0.0
474352,475359,0,1476485,0.0,1464.766865079365,0.0
475360,476367,0,1534678,0.0,1522.498015873016,0.0
476368,477375,0,1462539,0.0,1450.9315476190477,0.0
478384,479391,0,1355558,0.0,1344.7996031746031,0.0
479392,480399,0,1828705,0.0,1814.191468253968,0.0
480400,481407,0,1947203,0.0,1931.749007936508,0.0
481408,482415,0,1976497,0.0,1960.810515873016,0.0
482416,483423,0,1576270,0.0,1563.7599206349207,0.0
484432,485439,0,1453448,0.0,1441.9126984126983,0.0
485440,486447,0,1554738,0.0,1542.3988095238096,0.0
486448,487455,0,1620148,0.0,1607.2896825396826,0.0
487456,488463,0,1714128,0.0,1700.5238095238096,0.0
488464,489471,0,1726606,0.0,1712.9027777777778,0.0
489472,490479,0,1935492,0.0,1920.1309523809523,0.0
490480,491487,0,1904841,0.0,1889.7232142857144,0.0
491488,492495,0,1985860,0.0,1970.0992063492065,0.0
492496,493503,0,2184505,0.0,2167.1676587301586,0.0
493504,494511,0,2222865,0.0,2205.223214285714,0.0
494512,495519,0,1947879,0.0,1932.419642857143,0.0
495520,496527,0,2193884,0.0,2176.472222222222,0.0
496528,497535,0,2193791,0.0,2176.37996031746,0.0
497536,498543,0,2384435,0.0,2365.5109126984125,0.0
498544,499551,0,2351741,0.0,2333.0763888888887,0.0
499552,500559,0,2403160,0.0,2384.0873015873017,0.0
500560,501567,0,1975752,0.0,1960.071428571429,0.0
501568,502575,0,2123736,0.0,2106.8809523809523,0.0
502576,503583,0,2229553,0.0,2211.8581349206347,0.0
503584,504591,0,1769376,0.0,1755.3333333333333,0.0
568096,569103,0,2106213,0.0,2089.497023809524,0.0
505600,506607,0,1426055,0.0,1414.7371031746031,0.0
506608,507615,0,1431340,0.0,1419.9801587301588,0.0
507616,508623,0,1305177,0.0,1294.8184523809523,0.0
508624,509631,0,1167910,0.0,1158.640873015873,0.0
509632,510639,0,1210889,0.0,1201.27876984127,0.0
510640,511647,0,1221789,0.0,1212.092261904762,0.0
511648,512655,0,1239324,0.0,1229.4880952380952,0.0
512656,513663,0,1228592,0.0,1218.84126984127,0.0
513664,514671,0,1235196,0.0,1225.392857142857,0.0
514672,515679,0,1209917,0.0,1200.314484126984,0.0
515680,516687,0,1151045,0.0,1141.9097222222222,0.0
516688,517695,0,1066769,0.0,1058.3025793650793,0.0
517696,518703,0,1272876,0.0,1262.7738095238096,0.0
518704,519711,0,1301035,0.0,1290.7093253968253,0.0
519712,520719,0,1488476,0.0,1476.6626984126983,0.0
584224,585231,0,2275295,0.0,2257.237103174604,0.0
521728,522735,0,1364618,0.0,1353.7876984126983,0.0
522736,523743,0,1315790,0.0,1305.3472222222222,0.0
587248,588255,0,2054897,0.0,2038.5882936507935,0.0
524752,525759,0,1224873,0.0,1215.1517857142858,0.0
525760,526767,0,1295028,0.0,1284.75,0.0
526768,527775,0,1387467,0.0,1376.455357142857,0.0
527776,528783,0,1186279,0.0,1176.8640873015872,0.0
528784,529791,0,1233833,0.0,1224.0406746031747,0.0
529792,530799,0,1389305,0.0,1378.27876984127,0.0
530800,531807,0,1351427,0.0,1340.701388888889,0.0
531808,532815,0,1393209,0.0,1382.1517857142858,0.0
532816,533823,0,1386081,0.0,1375.080357142857,0.0
533824,534831,0,1414284,0.0,1403.059523809524,0.0
534832,535839,0,1393740,0.0,1382.678571428571,0.0
535840,536847,0,1375533,0.0,1364.616071428571,0.0
536848,537855,0,1412785,0.0,1401.5724206349207,0.0
537856,538863,0,1333932,0.0,1323.345238095238,0.0
538864,539871,0,1530979,0.0,1518.828373015873,0.0
539872,540879,0,1576659,0.0,1564.1458333333333,0.0
540880,541887,0,1568447,0.0,1555.999007936508,0.0
541888,542895,0,1619489,0.0,1606.6359126984128,0.0
542896,543903,0,1549274,0.0,1536.9781746031747,0.0
543904,544911,0,1716156,0.0,1702.5357142857142,0.0
544912,545919,0,1715365,0.0,1701.750992063492,0.0
545920,546927,0,1752294,0.0,1738.3869047619048,0.0
546928,547935,0,1802898,0.0,1788.5892857142858,0.0
547936,548943,0,1862393,0.0,1847.6121031746031,0.0
548944,549951,0,2140980,0.0,2123.9880952380954,0.0
549952,550959,0,2141221,0.0,2124.2271825396824,0.0
550960,551967,0,2132200,0.0,2115.277777777778,0.0
551968,552975,0,2088911,0.0,2072.332341269841,0.0
552976,553983,0,1963348,0.0,1947.765873015873,0.0
553984,554991,0,1944140,0.0,1928.7103174603171,0.0
554992,555999,0,1716293,0.0,1702.671626984127,0.0
556000,557007,0,1747384,0.0,1733.515873015873,0.0
557008,558015,0,1910734,0.0,1895.5694444444443,0.0
558016,559023,0,2205516,0.0,2188.0119047619046,0.0
559024,560031,0,2074351,0.0,2057.8878968253966,0.0
560032,561039,0,2178791,0.0,2161.499007936508,0.0
561040,562047,0,2205180,0.0,2187.678571428572,0.0
562048,563055,0,2207275,0.0,2189.7569444444443,0.0
563056,564063,0,2292756,0.0,2274.559523809524,0.0
564064,565071,0,2352729,0.0,2334.056547619048,0.0
565072,566079,0,2217650,0.0,2200.049603174604,0.0
566080,567087,0,1947352,0.0,1931.8968253968253,0.0
567088,568095,0,1788877,0.0,1774.6795634920634,0.0
504592,505599,0,1509699,0.0,1497.717261904762,0.0
569104,570111,0,2656041,0.0,2634.9613095238096,0.0
570112,571119,0,2571824,0.0,2551.4126984126983,0.0
571120,572127,0,2618693,0.0,2597.909722222222,0.0
572128,573135,0,2517055,0.0,2497.078373015873,0.0
573136,574143,0,2496518,0.0,2476.7043650793653,0.0
574144,575151,0,2569374,0.0,2548.9821428571427,0.0
575152,576159,0,2440574,0.0,2421.2043650793653,0.0
576160,577167,0,2419569,0.0,2400.366071428572,0.0
577168,578175,0,2391601,0.0,2372.62003968254,0.0
578176,579183,0,2389412,0.0,2370.4484126984125,0.0
579184,580191,0,2291338,0.0,2273.152777777778,0.0
580192,581199,0,2364407,0.0,2345.6418650793653,0.0
581200,582207,0,2344890,0.0,2326.279761904762,0.0
582208,583215,0,2357051,0.0,2338.344246031746,0.0
583216,584223,0,2213346,0.0,2195.779761904762,0.0
520720,521727,0,1408409,0.0,1397.2311507936508,0.0
585232,586239,0,2310228,0.0,2291.8928571428573,0.0
586240,587247,0,2064473,0.0,2048.0882936507937,0.0
523744,524751,0,1172689,0.0,1163.3819444444443,0.0
588256,589263,0,2181002,0.0,2163.69246031746,0.0
589264,590271,0,2202114,0.0,2184.6369047619046,0.0
590272,591279,0,2225589,0.0,2207.9255952380954,0.0
591280,592287,0,2151924,0.0,2134.845238095238,0.0
592288,593295,0,2197940,0.0,2180.496031746032,0.0
593296,594303,0,2023154,0.0,2007.0972222222224,0.0
594304,595311,0,2040280,0.0,2024.0873015873017,0.0
595312,596319,0,2210996,0.0,2193.4484126984125,0.0
596320,597327,0,2196512,0.0,2179.0793650793653,0.0
597328,598335,0,2172835,0.0,2155.590277777778,0.0
598336,599343,0,2157237,0.0,2140.116071428572,0.0
599344,600351,0,2224265,0.0,2206.612103174604,0.0
600352,601359,0,2202284,0.0,2184.805555555556,0.0
601360,602367,0,2299923,0.0,2281.6696428571427,0.0
602368,603375,0,2232925,0.0,2215.203373015873,0.0
603376,604383,0,2062317,0.0,2045.9494047619048,0.0
604384,605391,0,2197123,0.0,2179.685515873016,0.0
605392,606399,0,2212698,0.0,2195.1369047619046,0.0
606400,607407,0,2045048,0.0,2028.81746031746,0.0
607408,608415,0,2164043,0.0,2146.868055555556,0.0
609424,610431,0,2027943,0.0,2011.8482142857144,0.0
610432,611439,0,1834916,0.0,1820.3531746031747,0.0
611440,612447,0,2090484,0.0,2073.8928571428573,0.0
612448,613455,0,2116743,0.0,2099.9434523809523,0.0
613456,614463,0,2041225,0.0,2025.0248015873017,0.0
614464,615471,0,2124711,0.0,2107.848214285714,0.0
615472,616479,0,2270354,0.0,2252.3353174603176,0.0
616480,617487,0,2373569,0.0,2354.7311507936506,0.0
617488,618495,0,2253458,0.0,2235.5734126984125,0.0
618496,619503,0,2272587,0.0,2254.5505952380954,0.0
619504,620511,0,2164668,0.0,2147.4880952380954,0.0
620512,621519,0,2241331,0.0,2223.5426587301586,0.0
621520,622527,0,2200648,0.0,2183.18253968254,0.0
622528,623535,0,1935835,0.0,1920.47123015873,0.0
623536,624543,0,1833163,0.0,1818.6140873015872,0.0
624544,625551,0,1817742,0.0,1803.315476190476,0.0
625552,626559,0,1867037,0.0,1852.219246031746,0.0
626560,627567,0,2063527,0.0,2047.1498015873017,0.0
627568,628575,0,2176637,0.0,2159.362103174604,0.0
628576,629583,0,2120873,0.0,2104.0406746031745,0.0
629584,630591,0,2222366,0.0,2204.7281746031745,0.0
630592,631599,0,2291734,0.0,2273.5456349206347,0.0
631600,632607,0,2105042,0.0,2088.3353174603176,0.0
632608,633615,0,1942731,0.0,1927.3125,0.0
633616,634623,0,1929080,0.0,1913.7698412698408,0.0
634624,635631,0,2171312,0.0,2154.0793650793653,0.0
635632,636639,0,2108132,0.0,2091.4007936507937,0.0
636640,637647,0,2057331,0.0,2041.002976190476,0.0
637648,638655,0,2117842,0.0,2101.03373015873,0.0
638656,639663,0,2245009,0.0,2227.191468253968,0.0
639664,640671,0,2370412,0.0,2351.5992063492063,0.0
640672,641679,0,2265466,0.0,2247.4861111111118,0.0
641680,642687,0,2192231,0.0,2174.832341269841,0.0
642688,643695,0,2120961,0.0,2104.127976190476,0.0
643696,644703,0,2220155,0.0,2202.534722222222,0.0
644704,645711,0,2249523,0.0,2231.6696428571427,0.0
645712,646719,0,2211832,0.0,2194.277777777778,0.0
646720,647727,0,2089940,0.0,2073.3531746031745,0.0
647728,648735,0,1968403,0.0,1952.780753968254,0.0
648736,649743,0,2127801,0.0,2110.9136904761904,0.0
649744,650751,0,2150313,0.0,2133.247023809524,0.0
650752,651759,0,2208448,0.0,2190.9206349206347,0.0
651760,652767,0,2105639,0.0,2088.9275793650795,0.0
652768,653775,0,2173443,0.0,2156.1934523809523,0.0
653776,654783,0,2389092,0.0,2370.1309523809523,0.0
654784,655791,0,2242676,0.0,2224.876984126984,0.0
655792,656799,0,1991170,0.0,1975.3670634920636,0.0
656800,657807,0,2031688,0.0,2015.563492063492,0.0
658816,659823,0,2181954,0.0,2164.6369047619046,0.0
659824,660831,0,2174028,0.0,2156.7738095238096,0.0
660832,661839,0,2187522,0.0,2170.160714285714,0.0
661840,662847,0,2175127,0.0,2157.8640873015875,0.0
662848,663855,0,2064768,0.0,2048.3809523809523,0.0
663856,664863,0,2119233,0.0,2102.4136904761904,0.0
664864,665871,0,2263753,0.0,2245.7867063492063,0.0
665872,666879,0,2196923,0.0,2179.487103174604,0.0
666880,667887,0,2148164,0.0,2131.1150793650795,0.0
667888,668895,0,2263037,0.0,2245.0763888888887,0.0
668896,669903,0,2193607,0.0,2176.1974206349205,0.0
669904,670911,0,2268454,0.0,2250.4503968253966,0.0
670912,671919,0,2214112,0.0,2196.5396825396824,0.0
671920,672927,0,2161024,0.0,2143.873015873016,0.0
672928,673935,0,2060342,0.0,2043.9900793650795,0.0
673936,674943,0,2109689,0.0,2092.9454365079364,0.0
674944,675951,0,1957405,0.0,1941.87003968254,0.0
675952,676959,0,1971944,0.0,1956.2936507936508,0.0
676960,677967,0,2055950,0.0,2039.6329365079368,0.0
677968,678975,0,2033754,0.0,2017.6130952380952,0.0
678976,679983,0,2178401,0.0,2161.112103174604,0.0
679984,680991,0,2021993,0.0,2005.9454365079368,0.0
680992,681999,0,1759171,0.0,1745.2093253968253,0.0
682000,683007,0,1705333,0.0,1691.798611111111,0.0
683008,684015,0,1838561,0.0,1823.969246031746,0.0
684016,685023,0,1977210,0.0,1961.517857142857,0.0
685024,686031,0,1639265,0.0,1626.2549603174602,0.0
686032,687039,0,1648612,0.0,1635.5277777777778,0.0
687040,688047,0,1822948,0.0,1808.4801587301588,0.0
688048,689055,0,2066051,0.0,2049.65376984127,0.0
689056,690063,0,1943579,0.0,1928.1537698412696,0.0
690064,691071,0,1545117,0.0,1532.8541666666667,0.0
691072,692079,0,1495330,0.0,1483.4623015873017,0.0
692080,693087,0,1475931,0.0,1464.217261904762,0.0
693088,694095,0,1510975,0.0,1498.983134920635,0.0
694096,695103,0,1509021,0.0,1497.044642857143,0.0
695104,696111,0,1544825,0.0,1532.564484126984,0.0
696112,697119,0,1509785,0.0,1497.8025793650793,0.0
697120,698127,0,1594141,0.0,1581.4890873015872,0.0
698128,699135,0,1773066,0.0,1758.9940476190477,0.0
699136,700143,0,1735729,0.0,1721.953373015873,0.0
700144,701151,0,1711698,0.0,1698.1130952380952,0.0
701152,702159,0,1683366,0.0,1670.0059523809523,0.0
702160,703167,0,1699625,0.0,1686.1359126984128,0.0
703168,704175,0,1893898,0.0,1878.8670634920636,0.0
704176,705183,0,1837264,0.0,1822.68253968254,0.0
705184,706191,0,1901378,0.0,1886.2876984126983,0.0
706192,707199,0,1708532,0.0,1694.9722222222222,0.0
707200,708207,0,1826789,0.0,1812.2906746031747,0.0
708208,709215,0,1860270,0.0,1845.5059523809523,0.0
772720,773727,0,1947938,0.0,1932.4781746031747,0.0
710224,711231,0,1940179,0.0,1924.780753968254,0.0
711232,712239,0,2018089,0.0,2002.0724206349207,0.0
712240,713247,0,1666843,0.0,1653.6140873015872,0.0
713248,714255,0,1763252,0.0,1749.2579365079366,0.0
714256,715263,0,1856370,0.0,1841.6369047619048,0.0
715264,716271,0,1739533,0.0,1725.7271825396826,0.0
716272,717279,0,1622933,0.0,1610.0525793650793,0.0
717280,718287,0,1779115,0.0,1764.9950396825398,0.0
718288,719295,0,1573376,0.0,1560.888888888889,0.0
719296,720303,0,1726363,0.0,1712.6617063492065,0.0
783808,784815,0,2335625,0.0,2317.0882936507937,0.0
721312,722319,0,1835104,0.0,1820.5396825396824,0.0
722320,723327,0,1623493,0.0,1610.608134920635,0.0
723328,724335,0,1656190,0.0,1643.045634920635,0.0
724336,725343,0,1780265,0.0,1766.1359126984128,0.0
725344,726351,0,1825730,0.0,1811.2400793650795,0.0
726352,727359,0,1700154,0.0,1686.6607142857142,0.0
727360,728367,0,1677579,0.0,1664.264880952381,0.0
728368,729375,0,1770849,0.0,1756.794642857143,0.0
729376,730383,0,1885633,0.0,1870.6676587301588,0.0
730384,731391,0,1808516,0.0,1794.1626984126983,0.0
731392,732399,0,1743622,0.0,1729.78373015873,0.0
732400,733407,0,1752505,0.0,1738.59623015873,0.0
734416,735423,0,1780711,0.0,1766.578373015873,0.0
735424,736431,0,1867616,0.0,1852.7936507936508,0.0
736432,737439,0,1863613,0.0,1848.8224206349207,0.0
737440,738447,0,1799096,0.0,1784.8174603174602,0.0
738448,739455,0,1811389,0.0,1797.0128968253969,0.0
739456,740463,0,1651349,0.0,1638.2430555555557,0.0
740464,741471,0,1893368,0.0,1878.3412698412696,0.0
741472,742479,0,1732045,0.0,1718.298611111111,0.0
742480,743487,0,1731066,0.0,1717.327380952381,0.0
743488,744495,0,1756642,0.0,1742.7003968253969,0.0
744496,745503,0,1841644,0.0,1827.0277777777776,0.0
745504,746511,0,1819145,0.0,1804.7073412698408,0.0
746512,747519,0,1746082,0.0,1732.2242063492065,0.0
747520,748527,0,1691496,0.0,1678.071428571429,0.0
748528,749535,0,1796653,0.0,1782.3938492063492,0.0
749536,750543,0,1718230,0.0,1704.593253968254,0.0
750544,751551,0,1565338,0.0,1552.9146825396826,0.0
751552,752559,0,1734526,0.0,1720.7599206349207,0.0
752560,753567,0,1747543,0.0,1733.673611111111,0.0
753568,754575,0,1775258,0.0,1761.1686507936508,0.0
754576,755583,0,1772919,0.0,1758.8482142857142,0.0
755584,756591,0,1735870,0.0,1722.093253968254,0.0
756592,757599,0,1616171,0.0,1603.344246031746,0.0
757600,758607,0,1611912,0.0,1599.1190476190477,0.0
758608,759615,0,1740425,0.0,1726.6121031746031,0.0
759616,760623,0,1818734,0.0,1804.2996031746031,0.0
760624,761631,0,1838739,0.0,1824.1458333333333,0.0
761632,762639,0,1883139,0.0,1868.1934523809523,0.0
762640,763647,0,1827319,0.0,1812.816468253968,0.0
763648,764655,0,1888878,0.0,1873.8869047619048,0.0
765664,766671,0,1741651,0.0,1727.828373015873,0.0
766672,767679,0,1745710,0.0,1731.8551587301588,0.0
767680,768687,0,1931043,0.0,1915.717261904762,0.0
768688,769695,0,1795716,0.0,1781.4642857142858,0.0
769696,770703,0,1635897,0.0,1622.9136904761904,0.0
770704,771711,0,1797508,0.0,1783.2420634920634,0.0
771712,772719,0,1965175,0.0,1949.578373015873,0.0
709216,710223,0,1844968,0.0,1830.3253968253969,0.0
837232,838239,0,2632608,0.0,2611.714285714286,0.0
774736,775743,0,2185116,0.0,2167.7738095238096,0.0
775744,776751,0,1945512,0.0,1930.071428571429,0.0
776752,777759,0,1762614,0.0,1748.625,0.0
777760,778767,0,2072903,0.0,2056.4513888888887,0.0
778768,779775,0,2168748,0.0,2151.535714285714,0.0
779776,780783,0,2129885,0.0,2112.9811507936506,0.0
780784,781791,0,2156940,0.0,2139.8214285714284,0.0
781792,782799,0,1891355,0.0,1876.344246031746,0.0
782800,783807,0,2307412,0.0,2289.0992063492063,0.0
720304,721311,0,1763483,0.0,1749.4871031746031,0.0
784816,785823,0,2139311,0.0,2122.332341269841,0.0
785824,786831,0,2383702,0.0,2364.78373015873,0.0
786832,787839,0,3403462,0.0,3376.4503968253966,0.0
787840,788847,0,3816614,0.0,3786.323412698413,0.0
788848,789855,0,3813404,0.0,3783.1388888888887,0.0
789856,790863,0,3473540,0.0,3445.972222222222,0.0
790864,791871,0,3247624,0.0,3221.8492063492063,0.0
791872,792879,0,3001079,0.0,2977.2609126984125,0.0
792880,793887,0,2647426,0.0,2626.4146825396824,0.0
793888,794895,0,2901415,0.0,2878.3878968253966,0.0
794896,795903,0,2912341,0.0,2889.2271825396824,0.0
795904,796911,0,2722565,0.0,2700.957341269841,0.0
796912,797919,0,2965557,0.0,2942.020833333333,0.0
797920,798927,0,3348205,0.0,3321.6319444444443,0.0
798928,799935,0,3258798,0.0,3232.934523809524,0.0
799936,800943,0,3337279,0.0,3310.7926587301586,0.0
800944,801951,0,3095883,0.0,3071.3125,0.0
801952,802959,0,3124549,0.0,3099.750992063492,0.0
802960,803967,0,3412198,0.0,3385.117063492064,0.0
803968,804975,0,3273569,0.0,3247.5882936507937,0.0
804976,805983,0,3215418,0.0,3189.8988095238096,0.0
805984,806991,0,3744326,0.0,3714.609126984127,0.0
806992,807999,0,3511287,0.0,3483.4196428571427,0.0
808000,809007,0,3755984,0.0,3726.1746031746034,0.0
809008,810015,0,2444248,0.0,2424.8492063492063,0.0
810016,811023,0,2079019,0.0,2062.5188492063494,0.0
811024,812031,0,1727221,0.0,1713.5128968253969,0.0
812032,813039,0,1885090,0.0,1870.128968253968,0.0
813040,814047,0,2417838,0.0,2398.6488095238096,0.0
814048,815055,0,3089538,0.0,3065.0178571428573,0.0
815056,816063,0,3828938,0.0,3798.5496031746034,0.0
816064,817071,0,3906450,0.0,3875.446428571429,0.0
817072,818079,0,3917920,0.0,3886.8253968253966,0.0
818080,819087,0,3550629,0.0,3522.4494047619046,0.0
819088,820095,0,3539729,0.0,3511.6359126984125,0.0
820096,821103,0,3622154,0.0,3593.406746031746,0.0
821104,822111,0,4037626,0.0,4005.581349206349,0.0
822112,823119,0,3974666,0.0,3943.121031746032,0.0
823120,824127,0,3863487,0.0,3832.8244047619046,0.0
824128,825135,0,3017478,0.0,2993.529761904762,0.0
825136,826143,0,3418432,0.0,3391.3015873015875,0.0
826144,827151,0,3339093,0.0,3312.592261904762,0.0
827152,828159,0,3259542,0.0,3233.6726190476197,0.0
828160,829167,0,2559471,0.0,2539.157738095238,0.0
829168,830175,0,2296752,0.0,2278.5238095238096,0.0
830176,831183,0,2350399,0.0,2331.74503968254,0.0
831184,832191,0,2659858,0.0,2638.748015873016,0.0
832192,833199,0,2794241,0.0,2772.064484126984,0.0
833200,834207,0,2524319,0.0,2504.284722222222,0.0
834208,835215,0,2450284,0.0,2430.8373015873017,0.0
835216,836223,0,2508331,0.0,2488.4236111111118,0.0
836224,837231,0,2688575,0.0,2667.237103174604,0.0
773728,774735,0,2087133,0.0,2070.5684523809523,0.0
838240,839247,0,3244427,0.0,3218.6775793650795,0.0
839248,840255,0,3402039,0.0,3375.0386904761904,0.0
840256,841263,0,4074705,0.0,4042.366071428572,0.0
841264,842271,0,3832563,0.0,3802.1458333333335,0.0
842272,843279,0,4072371,0.0,4040.050595238096,0.0
843280,844287,0,3595151,0.0,3566.618055555556,0.0
844288,845295,0,4498868,0.0,4463.162698412699,0.0
845296,846303,0,4886587,0.0,4847.804563492064,0.0
846304,847311,0,4064292,0.0,4032.035714285714,0.0
847312,848319,0,4062870,0.0,4030.625,0.0
848320,849327,0,4165719,0.0,4132.657738095239,0.0
849328,850335,0,4149381,0.0,4116.449404761905,0.0
850336,851343,0,4096347,0.0,4063.8363095238096,0.0
851344,852351,0,4265238,0.0,4231.386904761905,0.0
852352,853359,0,4049889,0.0,4017.747023809524,0.0
853360,854367,0,4135353,0.0,4102.532738095239,0.0
854368,855375,0,4073986,0.0,4041.652777777778,0.0
855376,856383,0,3652948,0.0,3623.956349206349,0.0
856384,857391,0,4166217,0.0,4133.151785714285,0.0
857392,858399,0,4898489,0.0,4859.612103174603,0.0
858400,859407,0,4503919,0.0,4468.173611111111,0.0
859408,860415,0,4647089,0.0,4610.207341269841,0.0
860416,861423,0,4230800,0.0,4197.222222222223,0.0
861424,862431,0,3997359,0.0,3965.633928571429,0.0
862432,863439,0,3850094,0.0,3819.5376984126974,0.0
863440,864447,0,4111343,0.0,4078.7132936507937,0.0
864448,865455,0,4634993,0.0,4598.207341269841,0.0
865456,866463,0,4336951,0.0,4302.5307539682535,0.0
866464,867471,0,4492928,0.0,4457.269841269841,0.0
867472,868479,0,3992240,0.0,3960.555555555556,0.0
868480,869487,0,3452945,0.0,3425.5406746031745,0.0
869488,870495,0,3831118,0.0,3800.7123015873017,0.0
870496,871503,0,4128821,0.0,4096.05257936508,0.0
871504,872511,0,3462504,0.0,3435.0238095238096,0.0
872512,873519,0,3380962,0.0,3354.128968253968,0.0
873520,874527,0,3034242,0.0,3010.160714285714,0.0
874528,875535,0,3001186,0.0,2977.367063492064,0.0
875536,876543,0,2371603,0.0,2352.780753968254,0.0
876544,877551,0,2355061,0.0,2336.37003968254,0.0
877552,878559,0,2973212,0.0,2949.6150793650795,0.0
878560,879567,0,2665939,0.0,2644.780753968254,0.0
879568,880575,0,2610558,0.0,2589.839285714286,0.0
880576,881583,0,2362948,0.0,2344.1944444444443,0.0
881584,882591,0,2430575,0.0,2411.284722222222,0.0
882592,883599,0,2753504,0.0,2731.6507936507937,0.0
883600,884607,0,2621109,0.0,2600.306547619048,0.0
884608,885615,0,3449076,0.0,3421.7023809523807,0.0
885616,886623,0,2270446,0.0,2252.4265873015875,0.0
886624,887631,0,2549817,0.0,2529.5803571428573,0.0
887632,888639,0,2965164,0.0,2941.6309523809523,0.0
888640,889647,0,3066727,0.0,3042.3878968253966,0.0
889648,890655,0,2416231,0.0,2397.054563492064,0.0
890656,891314,0,1418658,0.0,2152.743550834598,0.0
